,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020598,6.870552,6.986000737052896,7.25104097343028,7.3284161927484375
ENSMUSG00000020599,5.4833207,5.626736151563358,5.689793378639096,5.823746561080794
ENSMUSG00000020601,7.0304775,7.171028647817364,7.406026101661946,7.3918822590363416
ENSMUSG00000020604,4.113267,4.38516625123926,4.398128036170813,4.241596983239839
ENSMUSG00000020605,4.4041224,4.681612010956538,4.6707113266643825,4.7577920532105455
ENSMUSG00000020607,6.506993,6.508892927889979,6.740848938420253,6.783501309193468
ENSMUSG00000020608,6.432292,6.381224183406467,6.674530642569774,6.801923732267709
ENSMUSG00000020610,7.5887046,7.618549120973381,7.730017957994585,7.73382989479665
ENSMUSG00000020611,6.3190813,6.4416560294352,6.5473971514022775,6.681938556486967
ENSMUSG00000020612,8.199499,8.262297098534095,8.506702417675116,8.539533573216218
ENSMUSG00000020614,3.532343,3.723199368301455,3.84471396700671,3.8581772748586562
ENSMUSG00000020620,3.882713,4.182455292062044,4.336147074144363,4.541698884882123
ENSMUSG00000020621,5.7616563,5.826853425187542,6.10429862998631,6.0436791622494885
ENSMUSG00000020623,5.95954,5.925154845726119,6.148478924846703,6.2579245573027045
ENSMUSG00000020627,6.012778,6.07614099609066,6.20035081674856,6.424188997612276
ENSMUSG00000020628,5.706634,5.755115827648947,5.9478294724134315,6.129178588406532
ENSMUSG00000020629,4.969692,5.132632978021862,5.223745196470556,5.259532172556187
ENSMUSG00000020630,5.109081,5.117740137139486,5.205406497256956,5.28479441161923
ENSMUSG00000020633,1.8476146,2.901941829555563,1.8901692524889302,2.217775145726447
ENSMUSG00000020634,4.8030047,4.671520428994965,4.975305552717035,4.966839033042122
ENSMUSG00000020635,6.0764537,6.00716072242446,6.195909461114122,6.287392633137316
ENSMUSG00000020636,2.2100613,2.284986435089655,2.485515862068693,2.1786397179337156
ENSMUSG00000020638,5.3872375,5.501868500404024,5.725520893847312,5.7361082241825345
ENSMUSG00000020639,4.488386,4.501766643639693,4.627546588078392,4.6389132040815495
ENSMUSG00000020640,6.152378,6.558398635924091,6.645878481132705,6.715094888875752
